        2000           5
      0    0    1    0    1
      2.   2.   6.   2.   4.
    -0.9200445017595858E+02 -0.9004289528984057E+01 -0.6682508843107740E+01 -0.8795273151555941E+00 -0.4373686643534324E+00
     0.5600758007790212E+00  0.3388930454725214E+01  0.4663200910201464E+01  0.8154460311340365E+01  0.9934165407339286E+01
  0.5278057465597690E-05  0.6568738315703001E-03  0.1814338737972422E-03  0.3576720775029197E-08  0.5266570282781969E-04  0.9106432530320471E-09
  0.5327176465427835E-05  0.6629863522725647E-03  0.1831222015319121E-03  0.3643600931285900E-08  0.5315578202238853E-04  0.9276711304890265E-09
  0.5376752579671766E-05  0.6691557479677869E-03  0.1848262386003024E-03  0.3711731648331168E-08  0.5365042124251142E-04  0.9450174042693810E-09
  0.5426790062357211E-05  0.6753825477675387E-03  0.1865461311473128E-03  0.3781136309434311E-08  0.5414966291038708E-04  0.9626880278197912E-09
  0.5477293207101007E-05  0.6816672857040383E-03  0.1882820266769654E-03  0.3851838735079536E-08  0.5465354984273334E-04  0.9806890659030907E-09
  0.5528266347477528E-05  0.6880105007758796E-03  0.1900340740650354E-03  0.3923863191140582E-08  0.5516212525445354E-04  0.9990266966795512E-09
  0.5579713857390532E-05  0.6944127369941856E-03  0.1918024235717990E-03  0.3997234397208197E-08  0.5567543276233693E-04  0.1017707213827081E-08
  0.5631640151448490E-05  0.7008745434291900E-03  0.1935872268548996E-03  0.4071977535073295E-08  0.5619351638879347E-04  0.1036737028701061E-08
  0.5684049685343383E-05  0.7073964742572514E-03  0.1953886369823337E-03  0.4148118257368713E-08  0.5671642056562316E-04  0.1056122672534563E-08
  0.5736946956233044E-05  0.7139790888083038E-03  0.1972068084455569E-03  0.4225682696372556E-08  0.5724419013782052E-04  0.1075870798679702E-08
  0.5790336503127045E-05  0.7206229516137474E-03  0.1990418971727119E-03  0.4304697472976096E-08  0.5777687036741428E-04  0.1095988184890893E-08
  0.5844222907276184E-05  0.7273286324547831E-03  0.2008940605419787E-03  0.4385189705819354E-08  0.5831450693734262E-04  0.1116481735650792E-08
  0.5898610792565593E-05  0.7340967064111967E-03  0.2027634573950493E-03  0.4467187020597479E-08  0.5885714595536454E-04  0.1137358484539730E-08
  0.5953504825911497E-05  0.7409277539105945E-03  0.2046502480507269E-03  0.4550717559541110E-08  0.5940483395800742E-04  0.1158625596649439E-08
  0.6008909717661686E-05  0.7478223607780968E-03  0.2065545943186517E-03  0.4635809991073984E-08  0.5995761791455115E-04  0.1180290371041904E-08
  0.6064830221999689E-05  0.7547811182864917E-03  0.2084766595131539E-03  0.4722493519651103E-08  0.6051554523104940E-04  0.1202360243254191E-08
  0.6121271137352725E-05  0.7618046232068541E-03  0.2104166084672348E-03  0.4810797895780821E-08  0.6107866375438804E-04  0.1224842787850099E-08
  0.6178237306803450E-05  0.7688934778596360E-03  0.2123746075466783E-03  0.4900753426234325E-08  0.6164702177638121E-04  0.1247745721019522E-08
  0.6235733618505526E-05  0.7760482901662280E-03  0.2143508246642932E-03  0.4992390984445964E-08  0.6222066803790559E-04  0.1271076903226400E-08
  0.6293765006103069E-05  0.7832696737010005E-03  0.2163454292942869E-03  0.5085742021108027E-08  0.6279965173307269E-04  0.1294844341906183E-08
  0.6352336449153991E-05  0.7905582477438294E-03  0.2183585924867732E-03  0.5180838574963606E-08  0.6338402251344017E-04  0.1319056194213722E-08
