376 8
 0 0 0 0 1 1 1 2
 2 2 2 2 6 6 2 10
8.115291e-01  9.315561e-09 -2.476983e-02 -1.251275e+00 -5.529771e-02 -2.281778e-02 -1.245093e+00 -1.972573e-02 -1.150851e+00
8.115295e-01  9.054976e-09 -2.476972e-02 -1.251273e+00 -5.529849e-02 -2.281769e-02 -1.245091e+00 -1.972523e-02 -1.150850e+00
8.115296e-01  9.046538e-09 -2.476971e-02 -1.251273e+00 -5.529859e-02 -2.281768e-02 -1.245091e+00 -1.972516e-02 -1.150849e+00
8.115308e-01  9.046218e-09 -2.476937e-02 -1.251268e+00 -5.530097e-02 -2.281738e-02 -1.245086e+00 -1.972363e-02 -1.150846e+00
8.115394e-01  9.044048e-09 -2.476713e-02 -1.251233e+00 -5.531711e-02 -2.281540e-02 -1.245055e+00 -1.971328e-02 -1.150823e+00
8.115709e-01  9.036077e-09 -2.475886e-02 -1.251104e+00 -5.537644e-02 -2.280809e-02 -1.244938e+00 -1.967523e-02 -1.150740e+00
8.116547e-01  9.014859e-09 -2.473685e-02 -1.250761e+00 -5.553457e-02 -2.278864e-02 -1.244629e+00 -1.957382e-02 -1.150517e+00
8.118383e-01  8.968583e-09 -2.468874e-02 -1.250010e+00 -5.588052e-02 -2.274613e-02 -1.243952e+00 -1.935194e-02 -1.150029e+00
8.121899e-01  8.880558e-09 -2.459685e-02 -1.248573e+00 -5.654260e-02 -2.266493e-02 -1.242655e+00 -1.892724e-02 -1.149095e+00
8.128014e-01  8.729342e-09 -2.443786e-02 -1.246077e+00 -5.769257e-02 -2.252439e-02 -1.240403e+00 -1.818943e-02 -1.147472e+00
8.137899e-01  8.489864e-09 -2.418300e-02 -1.242050e+00 -5.954749e-02 -2.229904e-02 -1.236770e+00 -1.699889e-02 -1.144855e+00
8.152987e-01  8.135937e-09 -2.379914e-02 -1.235923e+00 -6.236874e-02 -2.195944e-02 -1.231240e+00 -1.518709e-02 -1.140871e+00
8.174968e-01  7.644483e-09 -2.325079e-02 -1.227039e+00 -6.645758e-02 -2.147397e-02 -1.223221e+00 -1.255902e-02 -1.135092e+00
8.205780e-01  7.001399e-09 -2.250336e-02 -1.214670e+00 -7.214650e-02 -2.081154e-02 -1.212051e+00 -8.898014e-03 -1.127041e+00
8.247587e-01  6.208330e-09 -2.152754e-02 -1.198047e+00 -7.978590e-02 -1.994541e-02 -1.197029e+00 -3.973358e-03 -1.116209e+00
8.302747e-01  5.288714e-09 -2.030455e-02 -1.176392e+00 -8.972556e-02 -1.885774e-02 -1.177442e+00  2.449142e-03 -1.102080e+00
8.373776e-01  4.290571e-09 -1.883161e-02 -1.148972e+00 -1.022907e-01 -1.754439e-02 -1.152614e+00  1.059358e-02 -1.084154e+00
8.463297e-01  3.283286e-09 -1.712659e-02 -1.115156e+00 -1.177536e-01 -1.601907e-02 -1.121946e+00  2.065754e-02 -1.061984e+00
