376 3
 0 0 1
 2 2 6
 -3.023473e+01 -1.266050e+00 -4.430563e-01
1.285091e+01 -1.778274e-15 -8.868799e-10 -8.614527e-07
1.340020e+01  5.321504e-16 -2.208483e-10 -4.892234e-07
1.400635e+01  1.851503e-15  1.178650e-10 -2.613967e-07
1.466922e+01  1.537819e-15  1.620455e-10 -1.321203e-07
1.538787e+01  1.573392e-16  1.940445e-11 -6.452057e-08
1.616056e+01 -1.073875e-15 -1.349520e-10 -3.148017e-08
1.698474e+01 -1.265206e-15 -1.628066e-10 -1.526519e-08
1.785703e+01 -4.743991e-16 -5.511909e-11 -6.356205e-09
1.877332e+01  4.817571e-16  7.986206e-11 -1.187678e-09
1.972878e+01  7.995037e-16  1.237890e-10  9.453446e-10
2.071794e+01  3.451898e-16  5.256394e-11  5.977899e-10
2.173476e+01 -3.396963e-16 -5.382287e-11 -7.647025e-10
2.277275e+01 -6.057077e-16 -9.544909e-11 -1.459359e-09
2.382505e+01 -2.669565e-16 -4.441938e-11 -8.179825e-10
2.488458e+01  3.200470e-16  3.982812e-11  4.559449e-10
2.594410e+01  6.606782e-16  7.623869e-11  1.146186e-09
2.699641e+01  5.728271e-16  3.830413e-11  7.100448e-10
2.803440e+01  2.785987e-16 -2.990334e-11 -3.166802e-10
2.905122e+01  1.233265e-16 -6.335767e-11 -9.460047e-10
3.004038e+01  2.427028e-16 -3.670332e-11 -6.740327e-10
3.099584e+01  4.826416e-16  1.955662e-11  1.537609e-10
3.191213e+01  5.915742e-16  5.377807e-11  7.691913e-10
3.278442e+01  4.615113e-16  3.987243e-11  6.905739e-10
3.360859e+01  1.993759e-16 -5.444597e-12  6.625061e-11
3.438128e+01  2.944712e-18 -4.307796e-11 -5.529041e-10
3.509994e+01 -1.461100e-17 -4.547180e-11 -7.073636e-10
3.576280e+01  1.012442e-16 -1.488495e-11 -3.482554e-10
3.636895e+01  2.093977e-16  2.389066e-11  2.121891e-10
3.691825e+01  1.943394e-16  4.478705e-11  5.879803e-10
3.741132e+01  4.410526e-17  3.740605e-11  5.820061e-10
3.784951e+01 -1.582519e-16  9.732873e-12  2.586276e-10
3.823481e+01 -3.016548e-16 -2.086158e-11 -1.607748e-10
3.856978e+01 -3.149165e-16 -3.929122e-11 -4.592232e-10
3.885747e+01 -1.956322e-16 -3.960541e-11 -5.311478e-10
3.910135e+01  3.825398e-18 -2.502786e-11 -3.967872e-10
3.930515e+01  2.120431e-16 -3.669149e-12 -1.516723e-10
3.947283e+01  3.713539e-16  1.635597e-11  9.852483e-11
