376 5
 0 0 0 1 1
 2 2 2 6 4
 -8.770908e+01 -7.638741e+00 -5.856274e-01 -5.689399e+00 -2.188755e-01
1.948758e+00  1.415078e-08 -6.571232e-03 -3.559625e-01 -9.824887e-03 -3.514539e-01
2.017280e+00 -5.191889e-09 -4.908434e-03 -3.297617e-01 -7.588790e-03 -3.329635e-01
2.084403e+00 -1.791982e-08 -3.689407e-03 -3.055467e-01 -5.895443e-03 -3.154545e-01
2.149701e+00 -1.352398e-08 -2.795584e-03 -2.833814e-01 -4.613619e-03 -2.990490e-01
2.212774e+00  2.190724e-09 -2.139028e-03 -2.632619e-01 -3.642311e-03 -2.838203e-01
2.273262e+00  1.454732e-08 -1.655176e-03 -2.451336e-01 -2.904617e-03 -2.698017e-01
2.330845e+00  1.371260e-08 -1.296977e-03 -2.289061e-01 -2.342464e-03 -2.569946e-01
2.385251e+00  1.942654e-09 -1.030306e-03 -2.144655e-01 -1.912256e-03 -2.453758e-01
2.436259e+00 -1.028917e-08 -8.304877e-04 -2.016846e-01 -1.581395e-03 -2.349043e-01
2.483700e+00 -1.380515e-08 -6.797049e-04 -1.904304e-01 -1.325568e-03 -2.255263e-01
2.527458e+00 -7.235418e-09 -5.650910e-04 -1.805698e-01 -1.126658e-03 -2.171795e-01
2.567472e+00  3.601859e-09 -4.773376e-04 -1.719733e-01 -9.711571e-04 -2.097971e-01
2.603732e+00  1.116665e-08 -4.096852e-04 -1.645175e-01 -8.489699e-04 -2.033096e-01
2.636282e+00  1.141214e-08 -3.571988e-04 -1.580865e-01 -7.525229e-04 -1.976471e-01
2.665208e+00  5.379068e-09 -3.162520e-04 -1.525727e-01 -6.761069e-04 -1.927403e-01
2.690643e+00 -2.721351e-09 -2.841622e-04 -1.478766e-01 -6.153949e-04 -1.885217e-01
2.712755e+00 -8.641012e-09 -2.589317e-04 -1.439066e-01 -5.670875e-04 -1.849259e-01
2.731747e+00 -1.023615e-08 -2.390619e-04 -1.405787e-01 -5.286517e-04 -1.818902e-01
2.747846e+00 -7.812168e-09 -2.234185e-04 -1.378158e-01 -4.981266e-04 -1.793545e-01
2.761300e+00 -3.175728e-09 -2.111338e-04 -1.355470e-01 -4.739791e-04 -1.772616e-01
2.772369e+00  1.629748e-09 -2.015352e-04 -1.337074e-01 -4.549958e-04 -1.755574e-01
2.781321e+00  5.189117e-09 -1.940937e-04 -1.322373e-01 -4.402042e-04 -1.741907e-01
2.788424e+00  6.974216e-09 -1.883868e-04 -1.310820e-01 -4.288137e-04 -1.731137e-01
2.793940e+00  7.159867e-09 -1.840725e-04 -1.301916e-01 -4.201740e-04 -1.722817e-01
2.798121e+00  6.273943e-09 -1.808696e-04 -1.295206e-01 -4.137435e-04 -1.716538e-01
2.801202e+00  4.890618e-09 -1.785457e-04 -1.290282e-01 -4.090683e-04 -1.711924e-01
2.803400e+00  3.453645e-09 -1.769066e-04 -1.286781e-01 -4.057660e-04 -1.708640e-01
2.804909e+00  2.223383e-09 -1.757904e-04 -1.284382e-01 -4.035151e-04 -1.706389e-01
2.805897e+00  1.300903e-09 -1.750631e-04 -1.282814e-01 -4.020472e-04 -1.704916e-01
2.806509e+00  6.817389e-10 -1.746148e-04 -1.281844e-01 -4.011419e-04 -1.704005e-01
2.806861e+00  3.084078e-10 -1.743576e-04 -1.281287e-01 -4.006224e-04 -1.703482e-01
2.807044e+00  1.083613e-10 -1.742234e-04 -1.280996e-01 -4.003514e-04 -1.703209e-01
2.807128e+00  1.577452e-11 -1.741621e-04 -1.280863e-01 -4.002277e-04 -1.703084e-01
2.807159e+00 -1.915045e-11 -1.741392e-04 -1.280813e-01 -4.001812e-04 -1.703037e-01
2.807168e+00 -2.866909e-11 -1.741329e-04 -1.280800e-01 -4.001686e-04 -1.703025e-01
2.807169e+00 -3.007469e-11 -1.741320e-04 -1.280798e-01 -4.001667e-04 -1.703023e-01
2.807169e+00 -3.012010e-11 -1.741319e-04 -1.280798e-01 -4.001665e-04 -1.703022e-01
2.807174e+00 -3.011859e-11 -1.741286e-04 -1.280791e-01 -4.001600e-04 -1.703016e-01
2.807204e+00 -3.010839e-11 -1.741068e-04 -1.280743e-01 -4.001159e-04 -1.702971e-01
2.807313e+00 -3.007091e-11 -1.740267e-04 -1.280569e-01 -3.999540e-04 -1.702808e-01
2.807606e+00 -2.997120e-11 -1.738132e-04 -1.280106e-01 -3.995227e-04 -1.702373e-01
2.808246e+00 -2.975390e-11 -1.733469e-04 -1.279093e-01 -3.985805e-04 -1.701421e-01
2.809473e+00 -2.934128e-11 -1.724574e-04 -1.277154e-01 -3.967821e-04 -1.699598e-01
2.811606e+00 -2.863470e-11 -1.709210e-04 -1.273789e-01 -3.936736e-04 -1.696433e-01
2.815055e+00 -2.752161e-11 -1.684663e-04 -1.268368e-01 -3.887000e-04 -1.691329e-01
2.820318e+00 -2.589038e-11 -1.647873e-04 -1.260136e-01 -3.812301e-04 -1.683567e-01
2.827987e+00 -2.365426e-11 -1.595707e-04 -1.248236e-01 -3.706048e-04 -1.672321e-01
2.838736e+00 -2.078354e-11 -1.525350e-04 -1.231739e-01 -3.562094e-04 -1.656680e-01
2.853321e+00 -1.734050e-11 -1.434820e-04 -1.209693e-01 -3.375710e-04 -1.635686e-01
2.872564e+00 -1.350609e-11 -1.323546e-04 -1.181191e-01 -3.144696e-04 -1.608384e-01
2.897343e+00 -9.582352e-12 -1.192888e-04 -1.145452e-01 -2.870459e-04 -1.573886e-01
2.928573e+00 -5.955346e-12 -1.046456e-04 -1.101907e-01 -2.558788e-04 -1.531440e-01
2.967189e+00 -3.012683e-12 -8.900632e-05 -1.050296e-01 -2.220020e-04 -1.480514e-01
3.014123e+00 -1.030451e-12 -7.312015e-05 -9.907481e-02 -1.868372e-04 -1.420870e-01
3.070287e+00 -6.894238e-14 -5.780606e-05 -9.238376e-02 -1.520371e-04 -1.352629e-01
3.136542e+00  6.896755e-14 -4.382717e-05 -8.506087e-02 -1.192620e-04 -1.276317e-01
3.213683e+00 -2.237660e-13 -3.176877e-05 -7.725469e-02 -8.993503e-05 -1.192884e-01
3.302415e+00 -5.168507e-13 -2.195539e-05 -6.915004e-02 -6.504091e-05 -1.103676e-01
3.403327e+00 -5.298861e-13 -1.443030e-05 -6.095515e-02 -4.501904e-05 -1.010377e-01
3.516879e+00 -2.445247e-13 -8.998821e-06 -5.288535e-02 -2.977562e-05 -9.149085e-02
3.643378e+00  1.334632e-13 -5.313450e-06 -4.514544e-02 -1.879781e-05 -8.193007e-02
3.782971e+00  3.459384e-13 -2.967869e-06 -3.791323e-02 -1.132375e-05 -7.255566e-02
3.935625e+00  2.748877e-13 -1.572004e-06 -3.132672e-02 -6.514519e-06 -6.355158e-02
4.101127e+00  1.904903e-14 -7.967228e-07 -2.547669e-02 -3.587928e-06 -5.507421e-02
4.279073e+00 -1.992669e-13 -3.919022e-07 -2.040511e-02 -1.898371e-06 -4.724442e-02
4.468875e+00 -2.179099e-13 -1.872217e-07 -1.610914e-02 -9.663105e-07 -4.014368e-02
4.669759e+00 -5.651680e-14 -8.212051e-08 -1.254910e-02 -4.702216e-07 -3.381410e-02
4.880776e+00  1.213331e-13 -2.764247e-08 -9.658755e-03 -2.151864e-07 -2.826193e-02
5.100813e+00  1.627039e-13 -3.857736e-09 -7.356028e-03 -9.200239e-08 -2.346339e-02
5.328610e+00  5.431399e-14 -1.017956e-10 -5.552601e-03 -3.984417e-08 -1.937181e-02
5.562778e+00 -8.450370e-14 -5.151498e-09 -4.161579e-03 -2.177516e-08 -1.592503e-02
