376 5
 0 0 0 1 1
 2 2 2 6 1
 -5.508056e+01 -3.877979e+00 -2.513400e-01 -2.507294e+00 -7.177563e-02
2.385251e+00  3.450930e-09 -9.441387e-03 -2.721372e-01 -1.703442e-02 -2.216728e-01
2.436259e+00 -9.976330e-09 -8.080248e-03 -2.637892e-01 -1.496216e-02 -2.181796e-01
2.483700e+00 -1.484004e-08 -6.991850e-03 -2.560899e-01 -1.326416e-02 -2.148479e-01
2.527458e+00 -8.795999e-09 -6.118985e-03 -2.490603e-01 -1.187111e-02 -2.117168e-01
2.567472e+00  2.532723e-09 -5.416981e-03 -2.427041e-01 -1.072705e-02 -2.088138e-01
2.603732e+00  1.110918e-08 -4.850966e-03 -2.370105e-01 -9.786801e-03 -2.061565e-01
2.636282e+00  1.221023e-08 -4.393686e-03 -2.319583e-01 -9.013924e-03 -2.037538e-01
2.665208e+00  6.476435e-09 -4.023786e-03 -2.275179e-01 -8.378978e-03 -2.016077e-01
2.690643e+00 -1.873021e-09 -3.724481e-03 -2.236538e-01 -7.858112e-03 -1.997138e-01
2.712755e+00 -8.321656e-09 -3.482509e-03 -2.203262e-01 -7.431932e-03 -1.980634e-01
2.731747e+00 -1.042675e-08 -3.287333e-03 -2.174924e-01 -7.084582e-03 -1.966437e-01
2.747846e+00 -8.315114e-09 -3.130518e-03 -2.151081e-01 -6.803012e-03 -1.954390e-01
2.761300e+00 -3.763010e-09 -3.005250e-03 -2.131284e-01 -6.576397e-03 -1.944316e-01
2.772369e+00  1.121040e-09 -2.905970e-03 -2.115085e-01 -6.395676e-03 -1.936025e-01
2.781321e+00  4.830642e-09 -2.828094e-03 -2.102042e-01 -6.253195e-03 -1.929318e-01
2.788424e+00  6.766444e-09 -2.767801e-03 -2.091732e-01 -6.142432e-03 -1.923997e-01
2.793940e+00  7.066963e-09 -2.721870e-03 -2.083748e-01 -6.057783e-03 -1.919864e-01
2.798121e+00  6.252580e-09 -2.687570e-03 -2.077710e-01 -5.994414e-03 -1.916732e-01
2.801202e+00  4.905658e-09 -2.662570e-03 -2.073268e-01 -5.948139e-03 -1.914423e-01
2.803400e+00  3.482624e-09 -2.644878e-03 -2.070103e-01 -5.915347e-03 -1.912777e-01
2.804909e+00  2.254737e-09 -2.632802e-03 -2.067932e-01 -5.892945e-03 -1.911646e-01
2.805897e+00  1.330172e-09 -2.624921e-03 -2.066511e-01 -5.878314e-03 -1.910906e-01
2.806509e+00  7.081483e-10 -2.620058e-03 -2.065632e-01 -5.869282e-03 -1.910448e-01
2.806861e+00  3.325997e-10 -2.617265e-03 -2.065127e-01 -5.864095e-03 -1.910184e-01
2.807044e+00  1.312242e-10 -2.615809e-03 -2.064863e-01 -5.861389e-03 -1.910047e-01
2.807128e+00  3.799039e-11 -2.615143e-03 -2.064742e-01 -5.860153e-03 -1.909984e-01
2.807159e+00  2.816217e-12 -2.614894e-03 -2.064697e-01 -5.859689e-03 -1.909960e-01
2.807168e+00 -6.770827e-12 -2.614826e-03 -2.064685e-01 -5.859563e-03 -1.909954e-01
2.807169e+00 -8.186537e-12 -2.614816e-03 -2.064683e-01 -5.859544e-03 -1.909953e-01
2.807169e+00 -8.232311e-12 -2.614815e-03 -2.064683e-01 -5.859542e-03 -1.909953e-01
2.807174e+00 -8.231955e-12 -2.614780e-03 -2.064677e-01 -5.859477e-03 -1.909949e-01
2.807204e+00 -8.229543e-12 -2.614543e-03 -2.064634e-01 -5.859037e-03 -1.909927e-01
2.807313e+00 -8.220681e-12 -2.613672e-03 -2.064476e-01 -5.857420e-03 -1.909845e-01
2.807606e+00 -8.197099e-12 -2.611354e-03 -2.064056e-01 -5.853111e-03 -1.909626e-01
2.808246e+00 -8.145689e-12 -2.606287e-03 -2.063136e-01 -5.843693e-03 -1.909146e-01
2.809473e+00 -8.048000e-12 -2.596610e-03 -2.061375e-01 -5.825698e-03 -1.908227e-01
2.811606e+00 -7.880493e-12 -2.579866e-03 -2.058315e-01 -5.794533e-03 -1.906629e-01
2.815055e+00 -7.616031e-12 -2.553026e-03 -2.053375e-01 -5.744506e-03 -1.904046e-01
2.820318e+00 -7.227092e-12 -2.512601e-03 -2.045851e-01 -5.668992e-03 -1.900103e-01
2.827987e+00 -6.691035e-12 -2.454855e-03 -2.034922e-01 -5.560769e-03 -1.894361e-01
2.838736e+00 -5.997263e-12 -2.376147e-03 -2.019671e-01 -5.412571e-03 -1.886313e-01
2.853321e+00 -5.155207e-12 -2.273392e-03 -1.999105e-01 -5.217848e-03 -1.875400e-01
2.872564e+00 -4.200842e-12 -2.144616e-03 -1.972196e-01 -4.971709e-03 -1.861013e-01
2.897343e+00 -3.198364e-12 -1.989527e-03 -1.937928e-01 -4.671946e-03 -1.842515e-01
2.928573e+00 -2.233642e-12 -1.810007e-03 -1.895356e-01 -4.319985e-03 -1.819257e-01
2.967189e+00 -1.397833e-12 -1.610367e-03 -1.843680e-01 -3.921556e-03 -1.790603e-01
3.014123e+00 -7.636365e-13 -1.397252e-03 -1.782317e-01 -3.486860e-03 -1.755971e-01
3.070287e+00 -3.618175e-13 -1.179126e-03 -1.710989e-01 -3.030070e-03 -1.714864e-01
3.136542e+00 -1.689545e-13 -9.653356e-04 -1.629789e-01 -2.568119e-03 -1.666922e-01
3.213683e+00 -1.154782e-13 -7.649389e-04 -1.539248e-01 -2.118894e-03 -1.611965e-01
3.302415e+00 -1.143262e-13 -5.855051e-04 -1.440362e-01 -1.699152e-03 -1.550043e-01
3.403327e+00 -9.827285e-14 -4.321860e-04 -1.334589e-01 -1.322555e-03 -1.481468e-01
3.516879e+00 -4.597024e-14 -3.072605e-04 -1.223794e-01 -9.982405e-04 -1.406831e-01
3.643378e+00  1.927943e-14 -2.102329e-04 -1.110156e-01 -7.302074e-04 -1.327000e-01
3.782971e+00  5.753653e-14 -1.384002e-04 -9.960262e-02 -5.175800e-04 -1.243092e-01
3.935625e+00  4.767036e-14 -8.768801e-05 -8.837711e-02 -3.555897e-04 -1.156411e-01
4.101127e+00  4.584557e-15 -5.351680e-05 -7.756076e-02 -2.369606e-04 -1.068382e-01
4.279073e+00 -3.391163e-14 -3.150708e-05 -6.734575e-02 -1.533449e-04 -9.804621e-02
4.468875e+00 -3.847695e-14 -1.792720e-05 -5.788392e-02 -9.652354e-05 -8.940530e-02
4.669759e+00 -1.087298e-14 -9.879719e-06 -4.928071e-02 -5.921830e-05 -8.104284e-02
4.880776e+00  2.094231e-14 -5.286453e-06 -4.159401e-02 -3.549719e-05 -7.306722e-02
5.100813e+00  2.940887e-14 -2.755403e-06 -3.483756e-02 -2.084736e-05 -6.556406e-02
5.328610e+00  1.093096e-14 -1.406398e-06 -2.898758e-02 -1.203269e-05 -5.859461e-02
5.562778e+00 -1.406468e-14 -7.085035e-07 -2.399129e-02 -6.848463e-06 -5.219618e-02
