376 4
 0 0 0 1
 2 2 1 6
 -3.764758e+01 -2.007738e+00 -7.701624e-02 -1.006029e+00
0.000000e+00 -6.995724e+01  1.717953e+01 -3.021761e+00  1.079528e-10
2.603732e+00  1.809705e-09 -2.089838e-02 -1.777688e-01 -4.113346e-02
2.636282e+00  2.871999e-09 -1.941309e-02 -1.768054e-01 -3.889090e-02
2.665208e+00  1.609738e-09 -1.818313e-02 -1.759095e-01 -3.700437e-02
2.690643e+00 -7.481301e-10 -1.716703e-02 -1.750929e-01 -3.542394e-02
2.712755e+00 -2.746026e-09 -1.633051e-02 -1.743621e-01 -3.410678e-02
2.731747e+00 -3.507874e-09 -1.564509e-02 -1.737199e-01 -3.301600e-02
2.747846e+00 -2.967465e-09 -1.508695e-02 -1.731653e-01 -3.211967e-02
2.761300e+00 -1.620214e-09 -1.463602e-02 -1.726950e-01 -3.138994e-02
2.772369e+00 -1.119343e-10 -1.427526e-02 -1.723035e-01 -3.080242e-02
2.781321e+00  1.072363e-09 -1.399011e-02 -1.719840e-01 -3.033559e-02
2.788424e+00  1.723623e-09 -1.376797e-02 -1.717286e-01 -2.997040e-02
2.793940e+00  1.867578e-09 -1.359793e-02 -1.715292e-01 -2.968994e-02
2.798121e+00  1.656925e-09 -1.347047e-02 -1.713774e-01 -2.947918e-02
2.801202e+00  1.270082e-09 -1.337731e-02 -1.712652e-01 -2.932484e-02
2.803400e+00  8.498360e-10 -1.331125e-02 -1.711850e-01 -2.921524e-02
2.804909e+00  4.826575e-10 -1.326609e-02 -1.711299e-01 -2.914026e-02
2.805897e+00  2.043465e-10 -1.323659e-02 -1.710937e-01 -2.909124e-02
2.806509e+00  1.641229e-11 -1.321838e-02 -1.710713e-01 -2.906096e-02
2.806861e+00 -9.728705e-11 -1.320792e-02 -1.710585e-01 -2.904357e-02
2.807044e+00 -1.583213e-10 -1.320246e-02 -1.710517e-01 -2.903449e-02
2.807128e+00 -1.865943e-10 -1.319997e-02 -1.710487e-01 -2.903034e-02
2.807159e+00 -1.972633e-10 -1.319903e-02 -1.710475e-01 -2.902879e-02
2.807168e+00 -2.001715e-10 -1.319878e-02 -1.710472e-01 -2.902836e-02
2.807169e+00 -2.006009e-10 -1.319874e-02 -1.710472e-01 -2.902830e-02
2.807169e+00 -2.006146e-10 -1.319873e-02 -1.710471e-01 -2.902829e-02
2.807174e+00 -2.006070e-10 -1.319860e-02 -1.710470e-01 -2.902807e-02
2.807204e+00 -2.005559e-10 -1.319771e-02 -1.710459e-01 -2.902660e-02
2.807313e+00 -2.003680e-10 -1.319445e-02 -1.710419e-01 -2.902117e-02
2.807606e+00 -1.998679e-10 -1.318576e-02 -1.710311e-01 -2.900672e-02
2.808246e+00 -1.987774e-10 -1.316676e-02 -1.710077e-01 -2.897510e-02
2.809473e+00 -1.967037e-10 -1.313044e-02 -1.709627e-01 -2.891465e-02
2.811606e+00 -1.931434e-10 -1.306752e-02 -1.708843e-01 -2.880982e-02
2.815055e+00 -1.875102e-10 -1.296645e-02 -1.707573e-01 -2.864118e-02
2.820318e+00 -1.791974e-10 -1.281372e-02 -1.705628e-01 -2.838575e-02
2.827987e+00 -1.676807e-10 -1.259445e-02 -1.702781e-01 -2.801783e-02
2.838736e+00 -1.526606e-10 -1.229348e-02 -1.698761e-01 -2.751037e-02
2.853321e+00 -1.342260e-10 -1.189673e-02 -1.693256e-01 -2.683698e-02
2.872564e+00 -1.129945e-10 -1.139302e-02 -1.685905e-01 -2.597445e-02
2.897343e+00 -9.016977e-11 -1.077608e-02 -1.676302e-01 -2.490576e-02
2.928573e+00 -6.744683e-11 -1.004643e-02 -1.663992e-01 -2.362314e-02
2.967189e+00 -4.672809e-11 -9.212965e-03 -1.648476e-01 -2.213082e-02
3.014123e+00 -2.968402e-11 -8.293510e-03 -1.629224e-01 -2.044695e-02
3.070287e+00 -1.728554e-11 -7.314343e-03 -1.605691e-01 -1.860409e-02
3.136542e+00 -9.505264e-12 -6.308284e-03 -1.577348e-01 -1.664795e-02
3.213683e+00 -5.364974e-12 -5.311583e-03 -1.543715e-01 -1.463433e-02
3.302415e+00 -3.367932e-12 -4.360036e-03 -1.504410e-01 -1.262439e-02
3.403327e+00 -2.141514e-12 -3.485011e-03 -1.459193e-01 -1.067901e-02
3.516879e+00 -9.585740e-13 -2.710167e-03 -1.408014e-01 -8.853124e-03
3.643378e+00  1.589787e-13 -2.049482e-03 -1.351047e-01 -7.190849e-03
3.782971e+00  7.982678e-13 -1.506908e-03 -1.288710e-01 -5.722342e-03
3.935625e+00  7.009245e-13 -1.077530e-03 -1.221665e-01 -4.462635e-03
4.101127e+00  8.402609e-14 -7.498054e-04 -1.150794e-01 -3.412479e-03
4.279073e+00 -4.946350e-13 -5.082705e-04 -1.077155e-01 -2.560764e-03
4.468875e+00 -5.815369e-13 -3.361172e-04 -1.001922e-01 -1.887856e-03
4.669759e+00 -1.791833e-13 -2.172316e-04 -9.263138e-02 -1.369182e-03
4.880776e+00  3.040648e-13 -1.375084e-04 -8.515237e-02 -9.784631e-04
5.100813e+00  4.453899e-13 -8.546285e-05 -7.786555e-02 -6.902605e-04
5.328610e+00  1.743732e-13 -5.229372e-05 -7.086707e-02 -4.816663e-04
5.562778e+00 -2.082821e-13 -3.159649e-05 -6.423533e-02 -3.331944e-04
5.801821e+00 -3.445168e-13 -1.891302e-05 -5.802920e-02 -2.290245e-04
6.044160e+00 -1.471407e-13 -1.125508e-05 -5.228786e-02 -1.568047e-04
6.288163e+00  1.575396e-13 -6.683038e-06 -4.703201e-02 -1.072046e-04
6.532165e+00  2.770151e-13 -3.972727e-06 -4.226608e-02 -7.337233e-05
6.774505e+00  1.267114e-13 -2.370923e-06 -3.798099e-02 -5.039506e-05
7.013547e+00 -1.223895e-13 -1.424396e-06 -3.415722e-02 -3.482027e-05
7.247715e+00 -2.332519e-13 -8.646405e-07 -3.076768e-02 -2.426005e-05
7.475513e+00 -1.231934e-13 -5.331862e-07 -2.778048e-02 -1.708251e-05
7.695550e+00  8.571900e-14 -3.358448e-07 -2.516112e-02 -1.218189e-05
7.906566e+00  2.021903e-13 -2.164217e-07 -2.287439e-02 -8.813717e-06
8.107450e+00  1.379306e-13 -1.420398e-07 -2.088571e-02 -6.479273e-06
8.297252e+00 -3.539438e-14 -9.435702e-08 -1.916213e-02 -4.845754e-06
8.475199e+00 -1.690587e-13 -6.355405e-08 -1.767297e-02 -3.691165e-06
8.640700e+00 -1.651742e-13 -4.409900e-08 -1.639013e-02 -2.866713e-06
8.793354e+00 -4.078684e-14 -3.222477e-08 -1.528825e-02 -2.271713e-06
8.932947e+00  1.051912e-13 -2.494478e-08 -1.434470e-02 -1.837335e-06
9.059447e+00  1.748975e-13 -2.000871e-08 -1.353939e-02 -1.516266e-06
9.172998e+00  1.342938e-13 -1.607577e-08 -1.285464e-02 -1.276006e-06
9.273910e+00  1.991640e-14 -1.266027e-08 -1.227493e-02 -1.094275e-06
9.362642e+00 -9.841795e-14 -9.807942e-09 -1.178663e-02 -9.557264e-07
9.439784e+00 -1.631615e-13 -7.702789e-09 -1.137778e-02 -8.495894e-07
9.506039e+00 -1.543424e-13 -6.404573e-09 -1.103788e-02 -7.680829e-07
9.562202e+00 -8.798621e-14 -5.783376e-09 -1.075766e-02 -7.054202e-07
9.609136e+00  1.831395e-15 -5.593215e-09 -1.052891e-02 -6.572243e-07
9.647752e+00  8.247050e-14 -5.584058e-09 -1.034433e-02 -6.201744e-07
9.678982e+00  1.343005e-13 -5.579448e-09 -1.019741e-02 -5.917626e-07
9.703762e+00  1.526819e-13 -5.497887e-09 -1.008232e-02 -5.700990e-07
9.723005e+00  1.436892e-13 -5.332771e-09 -9.993827e-03 -5.537481e-07
9.737589e+00  1.180060e-13 -5.117044e-09 -9.927274e-03 -5.415969e-07
9.748339e+00  8.603891e-14 -4.892404e-09 -9.878505e-03 -5.327584e-07
9.756007e+00  5.533895e-14 -4.691287e-09 -9.843860e-03 -5.265069e-07
9.761270e+00  3.003540e-14 -4.530969e-09 -9.820149e-03 -5.222394e-07
9.764719e+00  1.145149e-14 -4.415265e-09 -9.804645e-03 -5.194528e-07
9.766852e+00 -8.764125e-16 -4.339236e-09 -9.795067e-03 -5.177327e-07
9.768079e+00 -8.260956e-15 -4.293929e-09 -9.789564e-03 -5.167449e-07
9.768719e+00 -1.220405e-14 -4.269802e-09 -9.786692e-03 -5.162295e-07
9.769012e+00 -1.402589e-14 -4.258670e-09 -9.785380e-03 -5.159941e-07
9.769122e+00 -1.471260e-14 -4.254476e-09 -9.784888e-03 -5.159058e-07
9.769151e+00 -1.489972e-14 -4.253333e-09 -9.784754e-03 -5.158817e-07
9.769156e+00 -1.492735e-14 -4.253164e-09 -9.784734e-03 -5.158782e-07
9.769157e+00 -1.492821e-14 -4.253154e-09 -9.784731e-03 -5.158776e-07
9.769176e+00 -1.492722e-14 -4.252992e-09 -9.784645e-03 -5.158628e-07
9.769305e+00 -1.492053e-14 -4.251895e-09 -9.784064e-03 -5.157628e-07
9.769782e+00 -1.489595e-14 -4.247866e-09 -9.781927e-03 -5.153954e-07
9.771053e+00 -1.483057e-14 -4.237143e-09 -9.776234e-03 -5.144171e-07
9.773833e+00 -1.468819e-14 -4.213760e-09 -9.763786e-03 -5.122822e-07
9.779159e+00 -1.441822e-14 -4.169301e-09 -9.739988e-03 -5.082172e-07
9.788423e+00 -1.395706e-14 -4.092982e-09 -9.698736e-03 -5.012211e-07
9.803397e+00 -1.323367e-14 -3.972269e-09 -9.632414e-03 -4.901070e-07
